date,open,high,low,close,volume,name
07-02-2020,1591,1598.3,1588.4,1612.8,0.00K,XAUUSD
10-02-2020,1606.7,1606.7,1606.7,1618.2,0.00K,XAUUSD
11-02-2020,1606.7,1606.9,1606.7,1608.8,0.00K,XAUUSD
12-02-2020,1590.8,1593.9,1587.5,1609.8,2.05K,XAUUSD
13-02-2020,1607.9,1608.1,1607.9,1617,0.00K,XAUUSD
14-02-2020,1601,1608.4,1597.3,1624.1,0.03K,XAUUSD
16-02-2020,1585.5,1586.25,1583.45,1586.25,-,XAUUSD
17-02-2020,1586.15,1588.45,1581.85,1587.05,-,XAUUSD
18-02-2020,1617.3,1634.8,1617.3,1641.1,0.07K,XAUUSD
19-02-2020,1639.8,1641.4,1636.2,1649.5,0.04K,XAUUSD
20-02-2020,1641.4,1651.9,1641.4,1658,0.12K,XAUUSD
21-02-2020,1672.3,1678.1,1672.3,1686.3,0.08K,XAUUSD
24-02-2020,1707.4,1707.4,1707.4,1713.5,0.02K,XAUUSD
25-02-2020,1681,1683.6,1681,1686.4,0.54K,XAUUSD
26-02-2020,1677.6,1677.6,1677.6,1678.2,0.02K,XAUUSD
27-02-2020,1679,1684.4,1670,1676.4,0.01K,XAUUSD
28-02-2020,1595.2,1617.8,1595.2,1596.6,0.56K,XAUUSD
02-03-2020,1602.5,1624.3,1600.2,1620.6,0.25K,XAUUSD
03-03-2020,1606.5,1663.8,1606.5,1670,0.06K,XAUUSD
04-03-2020,1664.2,1664.5,1664.2,1666.9,0.22K,XAUUSD
05-03-2020,1655.7,1671,1655.2,1690.5,0.18K,XAUUSD
06-03-2020,1696,1703.6,1686.3,1691.6,0.07K,XAUUSD
09-03-2020,1709.9,1710.1,1672.9,1691.5,0.13K,XAUUSD
10-03-2020,1675.9,1675.9,1662.1,1676.6,0.19K,XAUUSD
11-03-2020,1670,1670,1653.1,1658.3,0.03K,XAUUSD
12-03-2020,1654.3,1654.3,1581.5,1606.5,0.01K,XAUUSD
13-03-2020,1591,1591,1529.3,1532.2,0.10K,XAUUSD
16-03-2020,1485,1503,1485,1500,0.01K,XAUUSD
17-03-2020,1504.5,1561.5,1476.3,1541.1,0.01K,XAUUSD
18-03-2020,1520.6,1520.6,1502.3,1494.6,0.32K,XAUUSD
19-03-2020,1496.6,1508,1476.9,1497.2,0.01K,XAUUSD
20-03-2020,1515.8,1515.8,1515.8,1501.4,0.01K,XAUUSD
23-03-2020,1514.6,1572.8,1502.6,1588.3,0.01K,XAUUSD
24-03-2020,1594.6,1653.5,1594.6,1669.2,0.03K,XAUUSD
25-03-2020,1650.9,1656.6,1650.5,1639,0.06K,XAUUSD
26-03-2020,1674.3,1674.3,1659.4,1668.3,0.01K,XAUUSD
27-03-2020,1647.1,1647.1,1647.1,1661,0.27K,XAUUSD
30-03-2020,1646.9,1646.9,1646.9,1653.3,0.10K,XAUUSD
31-03-2020,1625.3,1625.3,1625.3,1606.7,0.06K,XAUUSD
01-04-2020,1594.4,1594.4,1594.4,1601.6,0.18K,XAUUSD
02-04-2020,1636.4,1636.4,1636.4,1646.7,0.29K,XAUUSD
03-04-2020,1639,1651.5,1625.3,1654.1,0.14K,XAUUSD
06-04-2020,1685.3,1688.6,1685.3,1700,0.00K,XAUUSD
07-04-2020,1688.8,1688.8,1688.8,1689.4,0.02K,XAUUSD
08-04-2020,1690.1,1690.1,1690.1,1689.3,0.02K,XAUUSD
09-04-2020,1747.5,1747.5,1747.5,1758.7,0.00K,XAUUSD
10-04-2020,1740.6,1740.6,1740.6,1740.6,-,XAUUSD
13-04-2020,1732.5,1758,1732.5,1767.9,0.03K,XAUUSD
14-04-2020,1779.1,1779.1,1776.5,1776.8,0.01K,XAUUSD
